Obs	Nombre	             x	        y	        ELEV	PRECI_TOT
1	PUERTO_LLERAS	     1078279	853121.8	245	25.0
2	MESETAS	             1003838	865519.1	620	10.0
3	VISTA_HERMOSA	     1035957	836811.2	325	0.0
4	LEJANIAS	     1005572	882047.6	680	3.2
5	AGUAS_CLARAS	     1024410	875692.0	520	6.0
6	SAN_JUAN_DE_ARAMA    1020621	864971.2	410	18.0
7	MESA_DE_YAMANES	     1019602	882206.0	600	15.0
8	SAN_LUIS_DE_CUBARRAL 1026073	910933.6	600	31.0
9	CALIME	             1026973	905583.0	800	16.0
10	PTO_ANGOSTURAS	     1017221	911146.6	854	100.0
11	CAMPO_ALEGRE	     1036402	845614.7	260	0.0
12	LOS_MICOS	     1020598	858490.1	500	47.0
13	FUENTE_DE_ORO	     1049356	875108.0	300	28.0
14	TIERRA_GRATA	     1094613	833206.8	191	10.0
15	PEÑAS_BLANCAS	     1017875	858511.1	440	73.0
16	MESA_DE_FERNANDEZ    1005285	873978.4	650	7.0
17	PTO_RICO	     1096479	817264.9	230	59.0
18	LEJANIAS_CASTILLO    1001985	887210.9	840	2.0
