ID;X;Y
1.00000;797889.994554;4491948.127650
2.00000;797771.018294;4491185.000820
3.00000;797125.003660;4490141.874030
4.00000;797192.969364;4489905.004230
5.00000;796676.010318;4489194.997580
6.00000;796298.989855;4488230.005130
7.00000;796027.964191;4488064.996590
8.00000;795538.988396;4486966.874400
9.00000;795589.998951;4486710.002210
10.00000;795067.972335;4486050.939150
11.00000;794886.019806;4485510.941630
12.00000;795062.971738;4485033.127890
13.00000;795003.980320;4484683.119580
14.00000;794856.016224;4484514.059210
15.00000;795004.996066;4485115.939110
16.00000;794823.981149;4485184.061090
17.00000;794952.032153;4485281.874100
18.00000;794707.036382;4485513.129400
19.00000;794457.028853;4485183.123470
20.00000;794767.032385;4485016.875950
21.00000;794318.987817;4485138.129260
22.00000;793606.012062;4484183.126840
23.00000;793497.025835;4483564.995000
24.00000;793007.034294;4482829.058920
25.00000;792608.984535;4482436.880390
26.00000;792001.010157;4481129.994440
27.00000;791662.029950;4479895.940840
28.00000;791652.028756;4479214.062550
29.00000;791648.981517;4479829.995470
30.00000;791454.996302;4479823.119650
31.00000;791269.996534;4479514.064890
32.00000;791496.016824;4479410.938740
33.00000;791184.997546;4479329.065120
34.00000;790125.004911;4477926.877610
35.00000;789525.000234;4476088.120120
36.00000;789113.980176;4473863.122310
37.00000;789136.014057;4473623.127130
38.00000;789336.015616;4473424.063190
39.00000;789514.999040;4473520.938590
40.00000;789574.995043;4473229.062230
41.00000;789067.032606;4472805.004900
42.00000;789367.972557;4473073.128430
43.00000;788861.014704;4473260.003420
44.00000;788742.964895;4473145.000850
45.00000;788839.996570;4472965.001680
46.00000;788217.969174;4472549.059160
47.00000;787704.994979;4471155.935230
48.00000;786913.985353;4470448.127500
49.00000;786753.988571;4470041.873640
50.00000;786116.010610;4469573.123470
51.00000;785858.982153;4468919.998620
52.00000;785132.969128;4468013.126940
53.00000;784880.003656;4466610.939430
54.00000;784580.001317;4466204.998100
55.00000;783799.997470;4465859.063940
56.00000;783568.987745;4465544.997420
57.00000;783527.029610;4464875.933160
58.00000;783207.973657;4464286.878450
59.00000;782586.013234;4463715.002140
60.00000;782277.974222;4463355.003800
61.00000;781649.997456;4463056.876680
62.00000;781047.034837;4461985.934080
63.00000;780397.035352;4461839.063860
64.00000;779815.001571;4461174.062590
65.00000;779688.982060;4461205.003780
66.00000;779773.981048;4461053.121810
67.00000;779567.974308;4460641.878510
68.00000;779023.980783;4460261.877780
69.00000;778857.030046;4459473.122890
70.00000;778522.034690;4459093.122160
71.00000;778587.031290;4458439.997300
72.00000;777986.010867;4456415.938660
73.00000;777843.984981;4456419.064030
74.00000;777982.026016;4456333.127430
75.00000;777211.018779;4455613.119590
76.00000;774985.005224;4454865.932160
77.00000;774657.030796;4454398.119610
78.00000;774469.999536;4454428.123190
79.00000;774405.002936;4454219.058050
80.00000;774307.971261;4454278.127600
81.00000;773398.978799;4453343.127570
82.00000;772659.995475;4452943.124450
83.00000;771141.019465;4450638.128250
84.00000;769456.019168;4446510.939040
85.00000;768452.026523;4443509.062750
86.00000;768332.034518;4442461.872990
87.00000;768497.031897;4442273.122770
88.00000;768488.984061;4441904.060850
89.00000;768192.028962;4441713.122870
90.00000;767909.997519;4441930.939060
91.00000;767601.020895;4441770.004660
92.00000;767418.979070;4441549.063100
93.00000;767519.995596;4441444.999340
94.00000;767286.016766;4441299.066740
95.00000;767202.033524;4440611.875310
96.00000;766252.969312;4439558.122260
97.00000;765773.983550;4439459.059090
98.00000;765073.989256;4438883.119790
99.00000;763682.026180;4438731.874050
100.00000;763247.967657;4438875.942590
101.00000;762998.987035;4438749.063600
102.00000;762820.003611;4438570.002050
103.00000;762895.001405;4438485.003060
104.00000;762572.965186;4438363.124670
105.00000;762617.032948;4438241.871350
106.00000;762513.984930;4438339.059290
107.00000;762426.016837;4438069.998150
108.00000;762306.013669;4438116.878750
109.00000;762073.988197;4437668.119810
110.00000;761643.981497;4437614.062010
111.00000;761307.970395;4437156.875730
