gid;fecha;codigo;code;elevacion;orientacion;dist2road;x;y
1;2001;100;323;790.50766;124.51605;127.1438833;737076.9722;4508603.435
2;2001;400;324;482.89857;253.67984;270.7582109;776501.4349;4506637.327
3;2001;100;312;1242.75644;82.48367;91.16171997;760139.3474;4510974.773
4;2001;100;321;720.67628;227.45088;20.5128265;763657.0469;4493239.829
5;2001;100;324;911.77464;169.41819;310.3402498;764365.4658;4496656.093
6;2001;100;323;984.47727;68.12862;199.8784111;761774.2298;4495728.439
7;2001;210;223;312.98035;116.85494;91.96669919;772819.7419;4494106.694
8;2001;240;243;107.79148;100.49311;51.13577403;790925.6642;4489727.027
9;2001;400;323;78.46487;164.7596;170.4755203;789392.2963;4486127.003
10;2001;210;242;109.04004;134.27765;385.0092349;785909.8985;4482238.57
11;2001;100;242;83.08103;25.35699;360.1623905;785835.3904;4480865.987
12;2001;230;243;223.61115;172.20831;357.4100501;777675.3201;4482645.913
13;2001;100;223;160.8575;11.43857;220.2955475;782437.4518;4480597.72
14;2001;250;243;70.94199;1.38895;147.1119545;785406.8581;4476726.032
15;2001;210;323;126.42179;79.49581;458.4441521;784073.0025;4479098.231
16;2001;100;323;152.28321;182.98496;177.0685577;784219.8728;4480062.501
17;2001;100;323;166.06152;183.80336;255.9649477;775255.8666;4463759.92
18;2001;400;242;129.17673;99.26945;280.8315122;774666.2194;4463241.361
19;2001;400;324;123.53426;222.14464;18.78763495;771975.4064;4459988.097
20;2001;400;323;874.88835;114.87431;166.4065545;744606.4082;4472505.498
21;2001;270;324;772.52968;224.44286;561.4064581;757334.9206;4483838.827
22;2001;100;311;923.29104;233.0797;660.5568344;755350.1843;4489077.292
23;2001;400;242;479.8312;284.41839;61.91988913;760742.2539;4478603.592
24;2001;100;333;893.60597;100.00064;1196.546113;747961.9288;4464962.548
25;2001;100;211;811.70781;100.50956;37.7374163;744063.7684;4466113.094
26;2001;100;324;875.19539;132.46134;697.8611157;739058.7917;4468666.939
27;2001;400;222;433.50871;211.23594;311.5909537;762400.988;4475400.714
28;2001;270;323;252.03903;119.46898;25.74593795;766453.1167;4467937.12
29;2001;210;323;500.83717;230.61775;576.3284392;749782.3908;4458517.985
30;2001;210;323;494.82726;253.89895;292.454772;750394.8165;4456774.347
31;2001;270;242;319.345;90.01183;76.91179518;757040.43;4454793.811
32;2001;240;222;152.63014;66.46278;25.68645856;761317.4559;4444034
33;2001;400;323;186.40443;140.06452;17.82023374;756749.3359;4438137.925
34;2001;250;242;402.69893;197.14018;225.74602;748061.8278;4443337.985
35;2001;210;223;276.38;117.18406;57.57747205;765350.0104;4457156.999
36;2001;100;312;979.16129;74.70518;5.744880139;733455.89;4461948.501
37;2001;100;324;852.03886;-99999;264.1968806;730387.4113;4471925.158
38;2001;100;324;1254.36796;58.41238;33.03695434;728678.6618;4455492.151
39;2001;250;242;548.80768;88.30123;22.07150266;743437.4078;4456162.619
40;2001;250;323;587.03861;143.01705;11.71988693;737587.7093;4456365.179
41;2001;100;323;592.66655;109.96885;519.5416009;742084.1254;4454251.362
42;2001;100;324;719.25145;100.36904;13.49649987;739401.2554;4461877.064
43;2001;100;323;1040.85667;140.97059;221.9229613;735610.7532;4464760.819
44;2001;210;243;301.45175;68.65663;119.6396374;736105.3376;4438508.778
45;2001;210;324;266.89001;96.16194;24.28483823;733436.035;4436709.983
46;2001;100;323;336.58398;125.83408;161.6792159;736975.4784;4441175.173
47;2001;320;243;133.4983;107.10711;75.38603064;741939.1502;4434475.05
48;2001;100;323;420.90857;202.1086;162.6413689;739049.2176;4442664.717
49;2001;100;243;913.85766;29.5054;106.5585514;702197.8247;4436688.677
50;2001;100;211;839.5408;128.38587;671.4264071;715128.6332;4442369.034
51;2001;100;312;863.00798;45.93969;180.3630464;716621.1566;4442727.52
52;2001;400;323;798.82054;173.35185;46.00895229;717488.3428;4444490.875
53;2001;100;211;908.21434;207.15647;416.5641791;724578.8008;4444803.345
54;2001;100;323;558.53407;44.22822;355.4136819;728703.5166;4430070.647
55;2001;100;242;604.14068;48.40492;46.81790412;703804.1093;4417819.212
56;2001;100;324;648.07545;103.43762;354.7264611;709494.0657;4416334.361
57;2001;210;241;506.98146;142.08881;47.76340662;708387.2042;4422319.578
58;2001;100;323;681.72287;139.03367;1288.475791;711325.4039;4426039.724
59;2001;100;323;509.56927;217.13179;250.839267;718670.2013;4417157.191
60;2001;100;323;573.45163;185.95724;209.0498634;719358.2494;4418655.416
61;2001;100;324;442.4172;132.08884;237.7482933;727500.1122;4428137.037
62;2001;100;324;517.41715;157.05428;164.3041376;726822.4501;4422204.604
63;2001;100;312;629.52329;202.97575;449.805741;729332.7615;4420320.596
64;2001;210;243;418.77468;167.03039;48.74514485;730942.3573;4419312.982
65;2001;400;243;262.6856;43.34181;26.39799964;733652.8065;4419096.005
66;2001;400;243;218.82558;43.08731;326.6699644;733618.349;4425336.945
67;2001;240;222;58.04999;118.96411;93.52673236;746899.5976;4427474.758
68;2001;240;222;22.5495;114.97208;213.0254672;740137.7506;4408152.21
69;2001;240;312;24.45433;142.33516;125.4383653;739470.2386;4403852.162
70;2001;210;242;567.89227;188.36158;27.58592255;707223.9995;4414657.026
71;2001;210;242;463.85612;112.3443;18.00639358;712669.0144;4409768.322
72;2001;100;211;1200.01054;214.22555;68.660722;747711.1601;4506260.99
73;2001;100;313;796.24785;155.88775;1195.517484;767233.7807;4497064.108
74;2001;100;313;808.40178;97.94318;702.4695896;767748.2699;4497628.93
75;2001;210;222;895.97202;-99999;7.597509082;744046.3865;4473097.99
76;2001;250;222;621.7491;179.03888;187.1291761;749890.3978;4474313.911
77;2001;100;242;716.35327;145.53944;46.33560722;744633.2292;4470423.72
78;2001;250;112;0.80219;90;94.73696578;789267.184;4475422.287
79;2001;270;223;382.02999;95.8262;47.29417217;766508.4011;4483380.963
80;2001;100;312;449.82231;222.11634;432.0095175;771688.9913;4483027.409
81;2001;320;222;4.77754;94.66624;21.82465911;797448.7144;4492013.708
82;2001;210;242;191.9371;93.56735;116.8800542;781639.8246;4479808.225
83;2001;100;312;1211.97374;98.68317;462.3181275;768839.5953;4512453.464
84;2001;210;243;701.70357;111.83461;105.1930847;770144.8037;4507323.665
85;2001;250;243;244.69942;243.78642;313.144293;779585.4383;4497455.181
86;2001;100;222;505.58715;92.09225;139.0083498;767372.6398;4494538.953
87;2001;250;512;136.54172;27.82178;29.13292312;742018.0694;4436731.742
88;2001;100;324;295.07436;177.8162;35.78197778;733233.6578;4437698.981
89;2001;400;242;329.67592;47.39401;399.385997;746898.878;4456421.522
90;2001;230;324;945.62292;88.06139;201.1019977;735649.1184;4470232.669
91;2001;100;312;965.40302;52.21433;17.49544187;731810.7412;4462494.073
92;2001;400;324;167.53868;59.72213;421.87939;762842.708;4444096.575
93;2001;296;323;190.69736;178.82206;333.8268307;748844.0711;4434034.446
94;2001;400;242;234.8825;174.27454;1.217248165;766665.4678;4464160.686
95;2001;100;243;376.58348;184.7245;27.09435338;747896.0756;4444397.452
96;2001;100;222;533.53823;95.79752;45.7674505;757340.761;4462632.587
97;2001;330;323;215.75515;189.32585;30.79691685;734667.4048;4412462.518
98;2001;400;222;164.27218;19.61011;91.9733518;736110.5765;4411253.493
99;2001;250;323;129.17705;166.06705;552.4653294;740003.7032;4415822.21
